noms;demi_grand_axe;excentricite;inclinaison_orbitale;inclinaison_equatoriale;vitesse_equatoriale;masse;diametre;couleur;attracteurs
Soleil;0;0;0;7.25;25229.412;1988920000000000000000000000000;1392684000;245,255,0;
Mercure;57909050000;0.20563069;7;0.03;39.2112;330100000000000000000000;4879000;240,170,45;0
Venus;108208930000;0.00677323;3.39471;177.36;23.472;4867500000000000000000000;12103000;245,204,129;0
Terre;149600000000;0.01671022;0;23.43669078;6027.7104;5972200000000000000000000;12756000;85,211,255;0
Mars;227944000000;0.09341233;1.85;25.19;2981.592;644171000000000000000000;6792000;237,136,34;0
Jupiter;778340000000;0.04839266;1.304;3.12;169383.6;1898190000000000000000000000;142984000;227,184,73;0
Saturne;1426700000000;0.0541506;2.486;26.73;125355.6;568340000000000000000000000;120536000;227,184,73;0
Uranus;2870700000000;0.04716771;0.773;97.8;33552;86813000000000000000000000;51118000;158,237,232;0
Neptune;4498396441000;0.00858587;1.77;28.32;34776;102413000000000000000000000;49528000;99,159,240;0
Pluton;5900898440000;0.25024871;17.14;122.53;27.82996712;13320000000000000000000;2390000;229,207,157;0
Lune;384399000;0.0549;5.145;6.687;59.96592;73477000000000000000000;3474800;220,220,220;0,3
Io;421800000;0.0041;0.036;0.47;0;89300000000000000000000;3643000;232,227,68;0,5
